Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,441,1,464115,5805055,46.68133545,4668,52.41266251,85.79166009,10.436973,3.771366908,0,30,30,SU2,0.86193875,1.38597906
Boosen,441,2,464115,5805055,46.68133545,4668,52.41266251,83.32576177,12.79639033,3.877847901,30,60,30,SU2,0.24546041,1.477692967
Boosen,441,3,464115,5805055,46.68133545,4668,52.41266251,86.36991535,9.631560988,3.998523657,60,90,30,SU2,0.142635241,1.497278034
Boosen,441,4,464115,5805055,46.68133545,4668,52.41266251,86.36991535,9.631560988,3.998523657,90,200,110,SU2,0.142635241,1.497278034
Boosen,669,1,464165,5805345,83.50621796,8351,52.38410568,72.19885343,19.63396081,8.167185755,0,30,30,SL3,0.84014299,1.374998834
Boosen,669,2,464165,5805345,83.50621796,8351,52.38410568,72.54484627,18.05630649,9.39884724,30,60,30,SL3,0.200429201,1.472873255
Boosen,669,3,464165,5805345,83.50621796,8351,52.38410568,73.8187477,15.11636207,11.06489024,60,90,30,SL3,0.077498955,1.493706785
Boosen,669,4,464165,5805345,83.50621796,8351,52.38410568,73.8187477,15.11636207,11.06489024,90,200,110,SL3,0.077498955,1.493706785
Boosen,848,1,464105,5805145,33.86262894,3386,59.15083313,85.85660913,10.64366871,3.499722162,0,30,30,SU2,0.727622419,1.405515997
Boosen,848,2,464105,5805145,33.86262894,3386,59.15083313,84.76337275,11.66883981,3.567787442,30,60,30,SU2,0.266701156,1.475639526
Boosen,848,3,464105,5805145,33.86262894,3386,59.15083313,86.56172555,9.859726457,3.578547996,60,90,30,SU2,0.381684673,1.458744241
Boosen,848,4,464105,5805145,33.86262894,3386,59.15083313,86.56172555,9.859726457,3.578547996,90,200,110,SU2,0.381684673,1.458744241
Boosen,1166,1,463435,5805335,71.97698212,7198,56.93951416,71.41266698,22.41599797,6.171335046,0,30,30,SL2,0.779952246,1.383982707
Boosen,1166,2,463435,5805335,71.97698212,7198,56.93951416,71.21588376,21.72539126,7.058724978,30,60,30,SL2,0.473465502,1.429234397
Boosen,1166,3,463435,5805335,71.97698212,7198,56.93951416,66.55498599,18.66932097,14.77569305,60,90,30,SL4,0.126256884,1.477245139
Boosen,1166,4,463435,5805335,71.97698212,7198,56.93951416,66.55498599,18.66932097,14.77569305,90,200,110,SL4,0.126256884,1.477245139
Boosen,1268,1,463415,5805275,76.05962372,7606,57.03928757,71.30510053,22.25377057,6.441128903,0,30,30,SL2,0.811777503,1.379168734
Boosen,1268,2,463415,5805275,76.05962372,7606,57.03928757,70.441566,21.91155227,7.646881732,30,60,30,SL3,0.324081964,1.451822463
Boosen,1268,3,463415,5805275,76.05962372,7606,57.03928757,69.01834166,19.65441756,11.32724078,60,90,30,SL3,0.230478742,1.463869584
Boosen,1268,4,463415,5805275,76.05962372,7606,57.03928757,69.01834166,19.65441756,11.32724078,90,200,110,SL3,0.230478742,1.463869584
Boosen,1476,1,463275,5805145,73.74586487,7375,55.51844025,68.4975317,22.18734652,9.31512178,0,30,30,SL3,1.574335319,1.274945333
Boosen,1476,2,463275,5805145,73.74586487,7375,55.51844025,68.33634729,22.46774809,9.195904614,30,60,30,SL3,0.611582274,1.404551923
Boosen,1476,3,463275,5805145,73.74586487,7375,55.51844025,72.47458059,18.8246813,8.700738112,60,90,30,SL3,0.274454821,1.461053903
Boosen,1476,4,463275,5805145,73.74586487,7375,55.51844025,72.47458059,18.8246813,8.700738112,90,200,110,SL3,0.274454821,1.461053903
Boosen,1620,1,463365,5805065,95.20605469,9521,54.28772354,58.21911589,29.73378398,12.04710013,0,30,30,SL4,1.818458216,1.236044114
Boosen,1620,2,463365,5805065,95.20605469,9521,54.28772354,57.02563379,29.82777143,13.14659478,30,60,30,SL4,0.970327265,1.340972206
Boosen,1620,3,463365,5805065,95.20605469,9521,54.28772354,59.45591263,27.69824969,12.84583768,60,90,30,SL4,0.178544112,1.463345463
Boosen,1620,4,463365,5805065,95.20605469,9521,54.28772354,59.45591263,27.69824969,12.84583768,90,200,110,SL4,0.178544112,1.463345463
Boosen,1656,1,463235,5805035,79.82579803,7983,56.1856842,74.64139242,19.42394017,5.934667416,0,30,30,SL2,1.209168562,1.327864812
Boosen,1656,2,463235,5805035,79.82579803,7983,56.1856842,74.20496935,19.12738694,6.667643714,30,60,30,SL2,0.25862286,1.466181505
Boosen,1656,3,463235,5805035,79.82579803,7983,56.1856842,72.92202506,18.49971112,8.578263819,60,90,30,SL3,0.109967175,1.488717635
Boosen,1656,4,463235,5805035,79.82579803,7983,56.1856842,72.92202506,18.49971112,8.578263819,90,200,110,SL3,0.109967175,1.488717635
Boosen,1682,1,463325,5805025,81.43305206,8143,55.09903717,66.8363585,22.38285599,10.78078552,0,30,30,SL3,1.961485639,1.228181273
Boosen,1682,2,463325,5805025,81.43305206,8143,55.09903717,66.73639799,21.6382293,11.62537271,30,60,30,SL4,0.738907702,1.383062088
Boosen,1682,3,463325,5805025,81.43305206,8143,55.09903717,68.00726677,20.60732899,11.38540424,60,90,30,SL3,0.361618879,1.441779475
Boosen,1682,4,463325,5805025,81.43305206,8143,55.09903717,68.00726677,20.60732899,11.38540424,90,200,110,SL3,0.361618879,1.441779475
Boosen,1791,1,463265,5804955,64.11231995,6411,57.23295593,75.79230057,18.85592826,5.351771165,0,30,30,SL2,0.957433254,1.363085667
Boosen,1791,2,463265,5804955,64.11231995,6411,57.23295593,75.29203994,18.48131446,6.226645602,30,60,30,SL2,0.30434085,1.459944633
Boosen,1791,3,463265,5804955,64.11231995,6411,57.23295593,72.56045942,18.04735043,9.392190151,60,90,30,SL3,0.19693286,1.473467772
Boosen,1791,4,463265,5804955,64.11231995,6411,57.23295593,72.56045942,18.04735043,9.392190151,90,200,110,SL3,0.19693286,1.473467772
Boosen,1869,1,463225,5804905,75.97232819,7597,59.56030273,77.90825371,17.77041519,4.321331106,0,30,30,SU2,1.107461812,1.345003973
Boosen,1869,2,463225,5804905,75.97232819,7597,59.56030273,77.16185098,18.39809233,4.440056687,30,60,30,SU2,0.601588272,1.416177294
Boosen,1869,3,463225,5804905,75.97232819,7597,59.56030273,72.29917782,21.45183892,6.248983261,60,90,30,SL2,0.126740725,1.486557052
Boosen,1869,4,463225,5804905,75.97232819,7597,59.56030273,72.29917782,21.45183892,6.248983261,90,200,110,SL2,0.126740725,1.486557052
Boosen,2105,1,463165,5804755,42.59667969,4260,66.29932404,77.82715727,18.25908249,3.913760236,0,30,30,SU2,0.811959515,1.386113474
Boosen,2105,2,463165,5804755,42.59667969,4260,66.29932404,77.53984678,18.32281416,4.137339057,30,60,30,SU2,0.132732165,1.49119458
Boosen,2105,3,463165,5804755,42.59667969,4260,66.29932404,74.82570249,20.91606516,4.25823235,60,90,30,SU2,0.079871804,1.497693559
Boosen,2105,4,463165,5804755,42.59667969,4260,66.29932404,74.82570249,20.91606516,4.25823235,90,200,110,SU2,0.079871804,1.497693559
Boosen,2233,1,463165,5804675,51.8829689,5188,70.46955872,77.27018122,16.46867971,6.261139069,0,30,30,SL2,0.757599388,1.392262561
Boosen,2233,2,463165,5804675,51.8829689,5188,70.46955872,77.05846818,16.45775417,6.483777646,30,60,30,SL2,0.317021854,1.45930508
Boosen,2233,3,463165,5804675,51.8829689,5188,70.46955872,73.19263568,16.91532764,9.892036687,60,90,30,SL3,0.144453861,1.482483287
Boosen,2233,4,463165,5804675,51.8829689,5188,70.46955872,73.19263568,16.91532764,9.892036687,90,200,110,SL3,0.144453861,1.482483287
Boosen,2779,1,463805,5805345,64.84370422,6484,55.71266937,79.02199659,17.35091212,3.627091289,0,30,30,SU2,0.732119012,1.398855802
Boosen,2779,2,463805,5805345,64.84370422,6484,55.71266937,78.6921382,17.70883621,3.599025594,30,60,30,SU2,0.132732165,1.492473561
Boosen,2779,3,463805,5805345,64.84370422,6484,55.71266937,76.93060461,19.39597602,3.673419372,60,90,30,SU2,0.079871804,1.499824085
Boosen,2779,4,463805,5805345,64.84370422,6484,55.71266937,76.93060461,19.39597602,3.673419372,90,200,110,SU2,0.079871804,1.499824085
Boosen,2875,1,463525,5805325,76.24230194,7624,57.77376938,71.09170734,22.29845134,6.60984132,0,30,30,SL2,0.906373994,1.365475786
Boosen,2875,2,463525,5805325,76.24230194,7624,57.77376938,70.63064497,21.05471869,8.314636346,30,60,30,SL3,0.324081964,1.451641887
Boosen,2875,3,463525,5805325,76.24230194,7624,57.77376938,65.97874386,18.23031104,15.7909451,60,90,30,SL4,0.230478742,1.458924028
Boosen,2875,4,463525,5805325,76.24230194,7624,57.77376938,65.97874386,18.23031104,15.7909451,90,200,110,SL4,0.230478742,1.458924028
Boosen,2945,1,463605,5805315,36.1006279,3610,59.4430542,86.85708473,9.77664347,3.366271797,0,30,30,SU2,0.66402172,1.415822769
Boosen,2945,2,463605,5805315,36.1006279,3610,59.4430542,85.44686637,11.29243022,3.260703408,30,60,30,SU2,0.293157273,1.472102923
Boosen,2945,3,463605,5805315,36.1006279,3610,59.4430542,87.9257633,8.715274345,3.358962358,60,90,30,SS,0.488373481,1.443353368
Boosen,2945,4,463605,5805315,36.1006279,3610,59.4430542,87.9257633,8.715274345,3.358962358,90,200,110,SS,0.488373481,1.443353368
Boosen,3165,1,463945,5805285,57.46203613,5746,55.53722,81.35642798,14.9072079,3.73636412,0,30,30,SU2,0.773865413,1.394758297
Boosen,3165,2,463945,5805285,57.46203613,5746,55.53722,80.84009261,15.26116265,3.898744739,30,60,30,SU2,0.218925182,1.479872197
Boosen,3165,3,463945,5805285,57.46203613,5746,55.53722,81.54473426,14.43473872,4.020527018,60,90,30,SU2,0.113311355,1.497998228
Boosen,3165,4,463945,5805285,57.46203613,5746,55.53722,81.54473426,14.43473872,4.020527018,90,200,110,SU2,0.113311355,1.497998228
Boosen,3209,1,463775,5805275,52.59503555,5260,58.12960434,82.33001379,12.59062102,5.079365193,0,30,30,SL2,0.669162199,1.41024313
Boosen,3209,2,463775,5805275,52.59503555,5260,58.12960434,78.08003588,15.74248355,6.17748057,30,60,30,SL2,0.114813591,1.493621574
Boosen,3209,3,463775,5805275,52.59503555,5260,58.12960434,78.25864875,12.56060338,9.180747871,60,90,30,SL3,0.0446859,1.50413122
Boosen,3209,4,463775,5805275,52.59503555,5260,58.12960434,78.25864875,12.56060338,9.180747871,90,200,110,SL3,0.0446859,1.50413122
Boosen,3210,1,463785,5805275,43.1256752,4313,57.71243668,80.6315901,14.26355836,5.104851542,0,30,30,SL2,0.684328857,1.406510593
Boosen,3210,2,463785,5805275,43.1256752,4313,57.71243668,78.07199901,15.6150117,6.31298929,30,60,30,SL2,0.132732165,1.490533355
Boosen,3210,3,463785,5805275,43.1256752,4313,57.71243668,77.50292401,12.89375129,9.603324692,60,90,30,SL3,0.079871804,1.497259056
Boosen,3210,4,463785,5805275,43.1256752,4313,57.71243668,77.50292401,12.89375129,9.603324692,90,200,110,SL3,0.079871804,1.497259056
Boosen,3236,1,464045,5805275,54.59493256,5459,54.61089706,82.66502785,13.52401795,3.810954198,0,30,30,SU2,0.778751882,1.395149983
Boosen,3236,2,464045,5805275,54.59493256,5459,54.61089706,78.55616351,17.47616027,3.967676221,30,60,30,SU2,0.242510185,1.473985481
Boosen,3236,3,464045,5805275,54.59493256,5459,54.61089706,79.41836054,16.70805741,3.873582058,60,90,30,SU2,0.111140268,1.496592757
Boosen,3236,4,464045,5805275,54.59493256,5459,54.61089706,79.41836054,16.70805741,3.873582058,90,200,110,SU2,0.111140268,1.496592757
Boosen,3317,1,463615,5805255,63.22169113,6322,58.0741539,80.82333769,15.27403896,3.902623353,0,30,30,SU2,0.673293421,1.408929945
Boosen,3317,2,463615,5805255,63.22169113,6322,58.0741539,80.48848732,15.43418189,4.077330785,30,60,30,SU2,0.194236797,1.48354509
Boosen,3317,3,463615,5805255,63.22169113,6322,58.0741539,81.41492161,14.5694435,4.015634889,60,90,30,SU2,0.154479467,1.490985676
Boosen,3317,4,463615,5805255,63.22169113,6322,58.0741539,81.41492161,14.5694435,4.015634889,90,200,110,SU2,0.154479467,1.490985676
Boosen,3510,1,463695,5805225,66.0506134,6605,58.10028839,80.79642905,15.42023747,3.783333485,0,30,30,SU2,0.70492187,1.40430194
Boosen,3510,2,463695,5805225,66.0506134,6605,58.10028839,81.31571652,14.76060843,3.923675053,30,60,30,SU2,0.235891394,1.477488545
Boosen,3510,3,463695,5805225,66.0506134,6605,58.10028839,81.88390798,14.22246258,3.893629439,60,90,30,SU2,0.126514826,1.496137549
Boosen,3510,4,463695,5805225,66.0506134,6605,58.10028839,81.88390798,14.22246258,3.893629439,90,200,110,SU2,0.126514826,1.496137549
Boosen,3535,1,463945,5805225,40.49190521,4049,57.3613472,84.21019942,12.35797653,3.43182405,0,30,30,SU2,0.782092716,1.396205435
Boosen,3535,2,463945,5805225,40.49190521,4049,57.3613472,78.59047418,17.57156582,3.837959999,30,60,30,SU2,0.239,1.474656483
Boosen,3535,3,463945,5805225,40.49190521,4049,57.3613472,79.6317729,15.81692074,4.551306355,60,90,30,SL2,0.092,1.499661235
Boosen,3535,4,463945,5805225,40.49190521,4049,57.3613472,79.6317729,15.81692074,4.551306355,90,200,110,SL2,0.092,1.499661235
Boosen,3548,1,463455,5805215,75.21311188,7521,56.15050888,71.03884639,22.2634863,6.697667318,0,30,30,SL2,1.060787452,1.344096467
Boosen,3548,2,463455,5805215,75.21311188,7521,56.15050888,71.33066235,20.96581196,7.703525686,30,60,30,SL3,0.473465502,1.42900113
Boosen,3548,3,463455,5805215,75.21311188,7521,56.15050888,68.2124611,18.44164958,13.34588932,60,90,30,SL4,0.126256884,1.479423338
Boosen,3548,4,463455,5805215,75.21311188,7521,56.15050888,68.2124611,18.44164958,13.34588932,90,200,110,SL4,0.126256884,1.479423338
Boosen,3714,1,463885,5805195,51.15933228,5116,55.75182343,82.36739963,13.98000041,3.652599954,0,30,30,SU2,0.82218034,1.388728342
Boosen,3714,2,463885,5805195,51.15933228,5116,55.75182343,80.90022238,15.18565704,3.914120581,30,60,30,SU2,0.177411406,1.486774465
Boosen,3714,3,463885,5805195,51.15933228,5116,55.75182343,80.86428706,14.93118574,4.204527194,60,90,30,SU2,0.113681809,1.497249702
