Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,1,1,464215,5805415,67.40379333,6740,49.51567459,72.72037612,22.17674989,5.102873988,0,30,30,SL2,1.059515353,1.346553065
Boosen,1,2,464215,5805415,67.40379333,6740,49.51567459,73.50013202,20.39200038,6.107867602,30,60,30,SL2,0.324905899,1.455141978
Boosen,1,3,464215,5805415,67.40379333,6740,49.51567459,75.56029934,15.67713739,8.76256327,60,90,30,SL3,0.207753468,1.474613059
Boosen,1,4,464215,5805415,67.40379333,6740,49.51567459,75.56029934,15.67713739,8.76256327,90,200,110,SL3,0.207753468,1.474613059
Boosen,2,1,464225,5805415,68.10771942,6811,49.43175888,71.94318702,21.60872002,6.448092956,0,30,30,SL2,1.132378794,1.335395087
Boosen,2,2,464225,5805415,68.10771942,6811,49.43175888,72.49603857,19.94295974,7.561001692,30,60,30,SL3,0.463817891,1.431584579
Boosen,2,3,464225,5805415,68.10771942,6811,49.43175888,73.96062304,16.92340394,9.115973014,60,90,30,SL3,0.129049214,1.486132257
Boosen,2,4,464225,5805415,68.10771942,6811,49.43175888,73.96062304,16.92340394,9.115973014,90,200,110,SL3,0.129049214,1.486132257
Boosen,3,1,464235,5805415,64.2858963,6429,49.35645294,71.94586594,21.76703481,6.287099256,0,30,30,SL2,1.121075375,1.336988259
Boosen,3,2,464235,5805415,64.2858963,6429,49.35645294,72.28178113,20.15858237,7.559636498,30,60,30,SL3,0.537172596,1.420096264
Boosen,3,3,464235,5805415,64.2858963,6429,49.35645294,72.30636426,18.97917791,8.714457828,60,90,30,SL3,0.103538791,1.489197029
Boosen,3,4,464235,5805415,64.2858963,6429,49.35645294,72.30636426,18.97917791,8.714457828,90,200,110,SL3,0.103538791,1.489197029
Boosen,4,1,464245,5805415,72.38168335,7238,49.30966187,72.63343238,22.00074423,5.365823395,0,30,30,SL2,1.170811555,1.331456498
Boosen,4,2,464245,5805415,72.38168335,7238,49.30966187,72.9278405,20.59580284,6.476356661,30,60,30,SL2,0.582363061,1.414348185
Boosen,4,3,464245,5805415,72.38168335,7238,49.30966187,72.39114769,18.3339806,9.27487171,60,90,30,SL3,0.132570482,1.484095999
Boosen,4,4,464245,5805415,72.38168335,7238,49.30966187,72.39114769,18.3339806,9.27487171,90,200,110,SL3,0.132570482,1.484095999
Boosen,5,1,464255,5805415,63.46094131,6346,49.3531189,72.00250233,22.46143578,5.536061889,0,30,30,SL2,1.159186416,1.332357507
Boosen,5,2,464255,5805415,63.46094131,6346,49.3531189,72.34256503,21.09963802,6.557796941,30,60,30,SL2,0.463817891,1.431969311
Boosen,5,3,464255,5805415,63.46094131,6346,49.3531189,73.49734534,17.97558309,8.527071565,60,90,30,SL3,0.129049214,1.486033916
Boosen,5,4,464255,5805415,63.46094131,6346,49.3531189,73.49734534,17.97558309,8.527071565,90,200,110,SL3,0.129049214,1.486033916
Boosen,6,1,464265,5805415,60.41898727,6042,49.50222015,72.99020015,21.18270968,5.827090167,0,30,30,SL2,1.287340014,1.316346783
Boosen,6,2,464265,5805415,60.41898727,6042,49.50222015,73.58502636,19.27006559,7.144908058,30,60,30,SL2,0.226066769,1.470720227
Boosen,6,3,464265,5805415,60.41898727,6042,49.50222015,75.06746485,15.51678104,9.415754113,60,90,30,SL3,0.065074381,1.497756537
Boosen,6,4,464265,5805415,60.41898727,6042,49.50222015,75.06746485,15.51678104,9.415754113,90,200,110,SL3,0.065074381,1.497756537
Boosen,7,1,464215,5805405,67.86582947,6787,49.72583389,71.96857811,19.43965761,8.59176428,0,30,30,SL3,0.984815065,1.354305249
Boosen,7,2,464215,5805405,67.86582947,6787,49.72583389,72.53270614,17.54752899,9.919764862,30,60,30,SL3,0.324081964,1.452465319
Boosen,7,3,464215,5805405,67.86582947,6787,49.72583389,72.89684409,15.40231874,11.70083717,60,90,30,SL4,0.230478742,1.467045914
Boosen,7,4,464215,5805405,67.86582947,6787,49.72583389,72.89684409,15.40231874,11.70083717,90,200,110,SL4,0.230478742,1.467045914
Boosen,8,1,464225,5805405,68.66690826,6867,49.67537689,71.02939763,20.00714947,8.9634529,0,30,30,SL3,1.004776083,1.350552781
Boosen,8,2,464225,5805405,68.66690826,6867,49.67537689,71.31222604,18.51396098,10.17381298,30,60,30,SL3,0.324081964,1.451273898
