Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,1,1,464215,5805415,67.40379333,6740,49.51567459,72.72037612,22.17674989,5.102873988,SL2,1.059515353,1.346553065
Boosen,2,1,464225,5805415,68.10771942,6811,49.43175888,71.94318702,21.60872002,6.448092956,SL2,1.132378794,1.335395087
Boosen,3,1,464235,5805415,64.2858963,6429,49.35645294,71.94586594,21.76703481,6.287099256,SL2,1.121075375,1.336988259
Boosen,4,1,464245,5805415,72.38168335,7238,49.30966187,72.63343238,22.00074423,5.365823395,SL2,1.170811555,1.331456498
Boosen,5,1,464255,5805415,63.46094131,6346,49.3531189,72.00250233,22.46143578,5.536061889,SL2,1.159186416,1.332357507
Boosen,6,1,464265,5805415,60.41898727,6042,49.50222015,72.99020015,21.18270968,5.827090167,SL2,1.287340014,1.316346783
Boosen,7,1,464215,5805405,67.86582947,6787,49.72583389,71.96857811,19.43965761,8.59176428,SL3,0.984815065,1.354305249
Boosen,8,1,464225,5805405,68.66690826,6867,49.67537689,71.02939763,20.00714947,8.9634529,SL3,1.004776083,1.350552781
Boosen,9,1,464235,5805405,67.56427765,6756,49.57667542,69.69863543,21.43636639,8.864998183,SL3,1.004653885,1.349464354
Boosen,10,1,464245,5805405,68.99567413,6900,49.53435898,70.41444089,21.70141358,7.884145522,SL3,1.041045408,1.345621035
Boosen,11,1,464255,5805405,60.5956192,6060,49.59324646,70.86722281,20.33576283,8.797014357,SL3,1.041907447,1.345425697
Boosen,12,1,464265,5805405,60.91023636,6091,49.74598694,71.45658388,19.90834818,8.635067939,SL3,1.158560008,1.330365878
Boosen,13,1,464205,5805395,76.88671875,7689,50.07849121,72.32610227,20.27856563,7.3953321,SL2,0.833194551,1.37649882
Boosen,14,1,464215,5805395,66.63754272,6664,50.05384445,72.53167143,21.47769746,5.99063111,SL2,0.851171123,1.374842546
Boosen,15,1,464225,5805395,77.94815063,7795,50.0160141,72.72016638,21.28424603,5.995587595,SL2,0.887668572,1.369838231
Boosen,16,1,464235,5805395,69.63484192,6963,49.90029907,71.01083374,21.99697162,6.992194647,SL2,0.881788634,1.368667945
Boosen,17,1,464245,5805395,57.63739777,5764,49.84781647,70.37414665,21.74992157,7.875931773,SL3,0.90034952,1.365044636
Boosen,18,1,464255,5805395,57.91129684,5791,49.90599442,69.20005331,21.86700784,8.932938847,SL3,0.899898681,1.36354222
Boosen,19,1,464265,5805395,53.37949371,5338,50.05357361,69.60844533,21.43778573,8.953768946,SL3,1.066013233,1.340981543
Boosen,20,1,464205,5805385,78.49093628,7849,50.49650192,72.45420849,21.20987091,6.335920597,SL2,0.820581932,1.378959826
Boosen,21,1,464215,5805385,77.65424347,7765,50.45472336,72.08687923,22.28069405,5.63242672,SL2,0.860299408,1.373345126
Boosen,22,1,464225,5805385,82.30429077,8230,50.39431381,72.08857283,22.42058451,5.490842659,SL2,0.88793481,1.369512695
Boosen,23,1,464235,5805385,77.32104492,7732,50.27233124,72.78891547,21.56139833,5.649686195,SL2,0.852043522,1.375118099
Boosen,24,1,464245,5805385,68.61055756,6861,50.2116127,71.45303898,21.0548582,7.492102818,SL2,0.909358955,1.364915339
Boosen,25,1,464255,5805385,63.51987457,6352,50.2636528,70.88761576,20.42260331,8.689780924,SL3,0.907481216,1.364069054
Boosen,26,1,464265,5805385,56.05813217,5606,50.37330627,71.00501137,21.31346059,7.681528042,SL3,1.073585642,1.341828347
