iso-date,tmin,tavg,tmax,precip,globrad,wind,relhumid,vaporpress,dewpoint_temp,relhumid_tmin,relhumid_tmax
-,°C,°C,°C,mm,MJ m-2,m s-1,%,kPa,Â°C,% 0-100,% 0-100
2020-01-30,2.6,5.1,7.6,5,1.45,6.3,80.83,999.9,999.9,999.9,999.9
2020-01-31,5.4,9,10.8,1.8,3.41,6.2,79.79,999.9,999.9,999.9,999.9
2020-02-01,8.3,10.6,12.8,6.8,1.745,5.6,82.63,999.9,999.9,999.9,999.9
2020-02-02,5.4,7,8.6,2.4,1.15,5.65,84.04,999.9,999.9,999.9,999.9
2020-02-03,5.1,6.7,8.7,3.2,2.18,3.7,90.92,999.9,999.9,999.9,999.9
2020-02-04,3.1,4.9,6.6,1.2,3.27,4.95,85,999.9,999.9,999.9,999.9
2020-02-05,1.7,2.7,4.4,2,6.04,4.05,80,999.9,999.9,999.9,999.9
2020-02-06,1.7,3.9,6.1,0,2.335,5.05,83.13,999.9,999.9,999.9,999.9
2020-02-07,4.4,5.4,7.1,0.2,2.475,2.45,90.54,999.9,999.9,999.9,999.9
2020-02-08,0.9,4.2,8.1,0,7.61,3.3,82.25,999.9,999.9,999.9,999.9
2020-02-09,3.8,7.5,11.3,2.4,6.5,5.9,70.5,999.9,999.9,999.9,999.9
2020-02-10,3.4,7.1,12.9,10,2.205,8.35,77.17,999.9,999.9,999.9,999.9
2020-02-11,3.2,4.7,6.4,0.4,2.555,9,69.5,999.9,999.9,999.9,999.9
2020-02-12,2.6,4.1,6,0,2.765,8,64.92,999.9,999.9,999.9,999.9
2020-02-13,0.4,3.6,6.3,0,5.71,4.75,71.42,999.9,999.9,999.9,999.9
2020-02-14,1.9,3.8,5.5,0.6,2.37,2.1,91.04,999.9,999.9,999.9,999.9
2020-02-15,0.3,4.8,9.9,0.2,6.71,3.6,85.29,999.9,999.9,999.9,999.9
2020-02-16,6.6,10.4,16.2,3.4,2.185,6.3,61.04,999.9,999.9,999.9,999.9
2020-02-17,6.8,9.9,16.4,0,3.705,6.45,64.21,999.9,999.9,999.9,999.9
2020-02-18,4.5,6.7,8.3,0.6,5,6.55,71.42,999.9,999.9,999.9,999.9
2020-02-19,3.1,4.5,6,8,2.99,5.5,82,999.9,999.9,999.9,999.9
2020-02-20,0.6,4.9,7.6,0.2,5.675,4.45,79.42,999.9,999.9,999.9,999.9
2020-02-21,4.1,5.6,7.4,6.2,4.72,6.4,74.88,999.9,999.9,999.9,999.9
2020-02-22,5.1,7.7,11.7,1.2,4.445,7.7,64.46,999.9,999.9,999.9,999.9
2020-02-23,4.3,6.5,7.7,18.6,1.7,6.2,83.25,999.9,999.9,999.9,999.9
2020-02-24,3.9,5.1,6.8,6.2,5.72,5.95,78.5,999.9,999.9,999.9,999.9
2020-02-25,3.2,7.7,10.8,1.4,6.19,5.6,77,999.9,999.9,999.9,999.9
2020-02-26,1.4,2.6,4.1,4.6,2.95,3.7,88.58,999.9,999.9,999.9,999.9
2020-02-27,1.3,2.9,5.8,1.4,5.14,3.4,83.04,999.9,999.9,999.9,999.9
2020-02-28,0.3,2.8,6.7,0,6.225,4.1,79.33,999.9,999.9,999.9,999.9
2020-02-29,1.7,5.6,9.8,1.6,6.42,4.95,80.38,999.9,999.9,999.9,999.9
2020-03-01,2.3,5.9,10.9,4.4,6.735,4.65,79.33,999.9,999.9,999.9,999.9
2020-03-02,2,4.6,7.6,0.2,4.015,3.1,85.33,999.9,999.9,999.9,999.9
2020-03-03,2.1,3.7,5.3,6.4,2.19,3.2,91.92,999.9,999.9,999.9,999.9
2020-03-04,0.6,3.6,8.3,0,8.75,3.25,81.83,999.9,999.9,999.9,999.9
2020-03-05,0.6,5,10.1,0.2,11.22,3.15,77.79,999.9,999.9,999.9,999.9
2020-03-06,3.2,5.5,7.8,2.2,2.415,3.3,85.5,999.9,999.9,999.9,999.9
2020-03-07,2.8,4.3,6.2,2.2,1.59,5.1,88.58,999.9,999.9,999.9,999.9
2020-03-08,0.3,5.4,9.7,0,8.915,3.25,78.54,999.9,999.9,999.9,999.9
2020-03-09,3.9,6.2,8.6,1.4,3.08,2.85,88.71,999.9,999.9,999.9,999.9
2020-03-10,1.6,5.2,8.6,7.4,4.44,5.55,88.04,999.9,999.9,999.9,999.9
2020-03-11,6.4,9.3,12.3,2.8,10.835,6.1,73.33,999.9,999.9,999.9,999.9
2020-03-12,3.1,9.4,13.8,4.8,7.44,7.65,67.75,999.9,999.9,999.9,999.9
2020-03-13,2.6,6,9.4,0,6.505,7.25,69.08,999.9,999.9,999.9,999.9
2020-03-14,-0.9,2.7,6.5,0,16.105,2.15,64.88,999.9,999.9,999.9,999.9
2020-03-15,-2.8,4.3,10.8,0,14.575,4.55,48.92,999.9,999.9,999.9,999.9
2020-03-16,2.9,8.6,15.2,0,14.315,3,55.58,999.9,999.9,999.9,999.9
2020-03-17,2.4,8.9,15.1,0,9.78,2.2,75.54,999.9,999.9,999.9,999.9
