LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI,LAI
0.8368,0.7162,0.8383,0.7159,0.7164,0.7143,0.5849,0.7153,0.7133,0.7161,0.7574,0.7594,0.7163,0.7598,0.7162,0.8388,0.7595,0.7666,0.76,1.4864,0.7601,0.7598,0.7661,0.7153,1.4862,0.7161,0.7163,0.5568,0.8367,0.5836,0.8367,0.7142,0.7134,0.7144,0.716,0.7599,0.7154,0.7162,0.7594,0.8381,0.7164,0.716,0.8373
0.8716,0.7469,0.8729,0.7466,0.7471,0.7448,0.611,0.7459,0.7438,0.7468,0.7894,0.7916,0.747,0.7917,0.7469,0.8734,0.7917,0.7992,0.7922,1.5366,0.7923,0.792,0.7986,0.7459,1.5363,0.7468,0.747,0.5819,0.8714,0.6096,0.8714,0.7447,0.7439,0.7449,0.7467,0.7921,0.7461,0.7469,0.7915,0.8726,0.7471,0.7467,0.8719
0.9123,0.7833,0.9136,0.783,0.7836,0.7811,0.6422,0.7823,0.78,0.7832,0.8273,0.8293,0.7835,0.8294,0.7834,0.9141,0.8294,0.8375,0.83,1.5933,0.8301,0.8297,0.8369,0.7823,1.5931,0.7833,0.7832,0.6118,0.9121,0.6407,0.9121,0.781,0.7801,0.7812,0.7831,0.8298,0.7824,0.7834,0.8293,0.9133,0.7836,0.7831,0.9125
0.9586,0.8252,0.96,0.8249,0.8255,0.8228,0.6783,0.8241,0.8216,0.8251,0.8708,0.8724,0.8254,0.8725,0.8253,0.9604,0.8725,0.8813,0.8732,1.6563,0.8732,0.8728,0.8806,0.8241,1.656,0.8252,0.8247,0.6465,0.9584,0.6766,0.9583,0.8227,0.8217,0.8229,0.825,0.8731,0.8242,0.8252,0.8724,0.9596,0.8255,0.825,0.9587
1.0055,0.8681,1.007,0.8678,0.8684,0.8655,0.7154,0.8669,0.8642,0.868,0.9152,0.9163,0.868,0.9163,0.8682,1.0073,0.9163,0.9259,0.9172,1.7192,0.9171,0.9167,0.9251,0.8669,1.7188,0.8681,0.8669,0.6823,1.0053,0.7136,1.0053,0.8654,0.8643,0.8657,0.8679,0.917,0.8671,0.8677,0.9163,1.0065,0.8684,0.8679,1.0056
1.0274,0.8885,1.0289,0.8882,0.8889,0.8859,0.7334,0.8873,0.8845,0.8884,0.9363,0.937,0.8882,0.9368,0.8886,1.0292,0.9369,0.9469,0.9379,1.7464,0.9377,0.9373,0.946,0.8873,1.7461,0.8885,0.887,0.6997,1.0272,0.7316,1.0272,0.8857,0.8847,0.886,0.8883,0.9377,0.8875,0.8879,0.9369,1.0283,0.8887,0.8883,1.0275
1.0581,0.917,1.0595,0.9167,0.9174,0.9142,0.7582,0.9157,0.9128,0.9167,0.9655,0.9657,0.9164,0.9655,0.9171,1.0598,0.9656,0.9761,0.9668,1.7868,0.9664,0.966,0.9751,0.9158,1.7863,0.917,0.9147,0.7237,1.0579,0.7563,1.0578,0.9141,0.9129,0.9144,0.9168,0.9666,0.9159,0.9159,0.9656,1.0589,0.917,0.9168,1.0581
1.0577,0.9167,1.0591,0.9163,0.917,0.9139,0.7579,0.9153,0.9124,0.9163,0.9652,0.9653,0.916,0.9651,0.9167,1.0594,0.9653,0.9757,0.9664,1.7861,0.966,0.9656,0.9747,0.9154,1.7856,0.9166,0.9144,0.7234,1.0575,0.756,1.0574,0.9137,0.9126,0.914,0.9165,0.9662,0.9156,0.9156,0.9652,1.0585,0.9166,0.9164,1.0576
1.0902,0.947,1.0916,0.9466,0.9474,0.9441,0.7843,0.9456,0.9425,0.9464,0.9963,0.9958,0.946,0.9954,0.9471,1.0918,0.9957,1.0067,0.997,1.8292,0.9964,0.996,1.0056,0.9457,1.8287,0.947,0.9438,0.7488,1.09,0.7822,1.0899,0.9439,0.9427,0.9442,0.9468,0.9968,0.9458,0.9453,0.9957,1.091,0.9467,0.9467,1.0901
1.1267,0.9813,1.1282,0.9809,0.9817,0.9783,0.8142,0.9799,0.9766,0.9804,1.0314,1.03,0.9798,1.0294,0.9814,1.1281,1.0298,1.0415,1.0314,1.8777,1.0306,1.0301,1.0403,0.9799,1.8772,0.9813,0.9769,0.7776,1.1266,0.812,1.1264,0.9781,0.9768,0.9784,0.9811,1.0311,0.9801,0.9788,1.0299,1.1273,0.9806,0.9811,1.1265
1.1669,1.0193,1.1683,1.0192,1.0201,1.0164,0.8476,1.0178,1.0146,1.0183,1.0705,1.0678,1.0173,1.0669,1.0197,1.1681,1.0674,1.0799,1.0694,1.9302,1.0682,1.0678,1.0785,1.0181,1.9296,1.0196,1.0134,0.8099,1.1668,0.8453,1.1665,1.0162,1.0148,1.0165,1.0191,1.069,1.0183,1.0159,1.0676,1.1673,1.0184,1.0194,1.1665
1.1859,1.0379,1.1873,1.0378,1.0388,1.035,0.8645,1.0364,1.0333,1.0367,1.0893,1.086,1.0355,1.0849,1.0385,1.187,1.0855,1.0984,1.0877,1.9526,1.0862,1.0858,1.0968,1.0369,1.9519,1.0382,1.0311,0.8263,1.1858,0.8621,1.1855,1.0348,1.0335,1.0352,1.0376,1.0872,1.0371,1.034,1.0857,1.1862,1.0368,1.038,1.1854
1.1855,1.0375,1.1868,1.0374,1.0384,1.0346,0.8642,1.036,1.0329,1.0363,1.0889,1.0855,1.0352,1.0845,1.0381,1.1865,1.0851,1.098,1.0873,1.9518,1.0858,1.0854,1.0964,1.0365,1.9511,1.0378,1.0307,0.826,1.1853,0.8617,1.1851,1.0344,1.0331,1.0348,1.0373,1.0868,1.0367,1.0336,1.0853,1.1858,1.0364,1.0376,1.1849
1.185,1.0371,1.1864,1.037,1.038,1.0342,0.8638,1.0356,1.0325,1.0359,1.0885,1.0851,1.0348,1.0841,1.0377,1.1861,1.0846,1.0976,1.0869,1.9511,1.0854,1.085,1.096,1.0361,1.9504,1.0374,1.0303,0.8257,1.1849,0.8614,1.1846,1.034,1.0327,1.0344,1.0369,1.0864,1.0363,1.0332,1.0849,1.1853,1.036,1.0372,1.1845
